,Číslo záznamu,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu (v příslušném písmu),Údaje o odpovědnosti a další informace,Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Překladatel/ka,Zdroj či odkaz,Volná poznámka,tecnická poznámka
33,34,část knihy,31.0,celé dílo ,překlad,,,Parte terza: 1920-1923,,Originál neexistuje,ita ,cze,,,,,,,,,,,,
34,35,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",La casa felice e altri racconti,Postfazione di Angelo Maria Ripellino,Originál neexistuje,ita ,cze,,,Milano (Itálie) : SE,,,175.0,1988.0,88-7710-109-1,"Ripellino, Ela",http://id.sbn.it/bid/CFI0122786,,
35,36,část knihy,35.0,celé dílo ,překlad,,,Un uomo di talento ,,Originál neznámý,ita ,cze,,,,,,,,,,,,
36,37,část knihy,35.0,celé dílo ,překlad,,,Un mazzo di rose,,Kytice růží,ita ,cze,,,,,,,,,,,,
37,38,část knihy,35.0,celé dílo ,překlad,,,Lotte coi portieri,,Originál neznámý,ita ,cze,,,,,,,,,,,,
38,39,část knihy,35.0,celé dílo ,překlad,,,Storia del porco Saverio ,,Franz prase,ita ,cze,,,,,,,,,,,,
39,40,část knihy,35.0,celé dílo ,překlad,,,Il praticante Žemla,,Praktikant Žemla,ita ,cze,,,,,,,,,,,,
40,41,část knihy,35.0,celé dílo ,překlad,,,Come ci occupammo assieme al reverendo del battesimo di piccoli negretti in Africa,,Come ci occupammo assieme al reverendo del battesimo di piccoli negretti in Africa,ita ,cze,,,,,,,,,,,,
41,42,část knihy,35.0,celé dílo ,překlad,,,Il primo raduno dei gruppi di ginnasti cattolici,,První slet katolických tělocvičných jednot,ita ,cze,,,,,,,,,,,,
42,43,část knihy,35.0,celé dílo ,překlad,,,La minestra per i bambini poveri,,Polévka pro chudé děti ,ita ,cze,,,,,,,,,,,,
43,44,část knihy,35.0,celé dílo ,překlad,,,Il verme solitario della principessa,,Tasemnice paní kněžny,ita ,cze,,,,,,,,,,,,
44,45,část knihy,35.0,celé dílo ,překlad,,,La pietra della vita,,Kámen života,ita ,cze,,,,,,,,,,,,
45,46,část knihy,35.0,celé dílo ,překlad,,,La casa felice,,Šťastný domov,ita ,cze,,,,,,,,,,,,
46,47,část knihy,35.0,celé dílo ,překlad,,,Come il signor mazucha andò a vendicare il suo offeso onore di marito ,,Jak šel pan Mazucha pomstít svou uraženou manželskou čest,ita ,cze,,,,,,,,,,,,
47,48,část knihy,35.0,celé dílo ,překlad,,,Le confesioni d'un vecchio scapolo l'elisse,,Zpověď starého mládence,ita ,cze,,,,,,,,,,,,
48,49,část knihy,35.0,celé dílo ,překlad,,,Come nella città di Cikánov i tenutari dei bordelli entrarono nell'organizzazione cristiano-sociale,,Jak vstoupili v obci Cikánově bordeláři do křesťanskosociální organisace,ita ,cze,,,,,,,,,,,,
49,50,část knihy,35.0,celé dílo ,překlad,,,Il tuono viola,,Fialový hrom,ita ,cze,,,,,,,,,,,,
50,51,část knihy,35.0,celé dílo ,překlad,,,In lotta contro l'alcol,,V boji proti alkoholu,ita ,cze,,,,,,,,,,,,
51,52,část knihy,35.0,celé dílo ,překlad,,,L'orizzonte delle signore e delle signorine boeme ,,Obzor českých paní a dívek ,ita ,cze,,,,,,,,,,,,
52,53,část knihy,35.0,celé dílo ,překlad,,,Le difficoltà della creazione letteraria,,Potíže s literární tvorbou,ita ,cze,,,,,,,,,,,,
53,54,kniha,,souborné dílo,překlad,,,Lo sciopero dei malviventi e altri racconti,Prefazione di Eduard Goldstucker,Originál neexistuje,ita ,cze,,,Roma (Itálie) : Lucarini,,,203.0,1989.0,88-7033-335-3,"Massimi, Dario",http://id.sbn.it/bid/UBO0099036,,
54,55,část knihy,54.0,celé dílo ,překlad,,,Il Capodanno,,Nový rok,ita ,cze,,,,,,,,,,,,
55,56,část knihy,54.0,celé dílo ,překlad,,,Dal diario di una fanciulla ingenua,,Z deníku naivního děvčete,ita ,cze,,,,,,,,,,,,
56,57,část knihy,54.0,celé dílo ,překlad,,,Sulle feste da ballo,,O bálech,ita ,cze,,,,,,,,,,,,
57,58,část knihy,54.0,celé dílo ,překlad,,,Su di un censore ,,Originál neznámý,ita ,cze,,,,,,,,,,,,
58,59,část knihy,54.0,celé dílo ,překlad,,,L'autore di un omicidio a scopo di rapina in tribunale,,Loupežný vrah před soudem,ita ,cze,,,,,,,,,,,,
59,60,část knihy,54.0,celé dílo ,překlad,,,La pipa di Padre Giordano,,Dýmka pátera Jordána,ita ,cze,,,,,,,,,,,,
60,61,část knihy,54.0,celé dílo ,překlad,,,Racconto sulle cimici ,,Povídka o štěnicích ,ita ,cze,,,,,,,,,,,,
61,62,část knihy,54.0,celé dílo ,překlad,,,Piccolo idillio dall'inferno,,Idylka z pekla,ita ,cze,,,,,,,,,,,,
62,63,část knihy,54.0,celé dílo ,překlad,,,Lo stupefacente miracolo di Sant'Everardo,,Podivuhodný zázrak sv. Ewerharda,ita ,cze,,,,,,,,,,,,
63,64,část knihy,54.0,celé dílo ,překlad,,,Il mio zietto Gabriele ,,Můj strýček Gabriel,ita ,cze,,,,,,,,,,,,
64,65,část knihy,54.0,celé dílo ,překlad,,,La bambina abbandonata e la sua madre misteriosa,,Osiřelé dítě a tajemná jeho matka,ita ,cze,,,,,,,,,,,,
65,66,část knihy,54.0,celé dílo ,překlad,,,Lo zio Gioacchino,,Strýc Jáchym ,ita ,cze,,,,,,,,,,,,
66,67,část knihy,54.0,celé dílo ,překlad,,,La cucina del carcere,,Vězeňská kuchyně,ita ,cze,,,,,,,,,,,,
67,68,část knihy,54.0,celé dílo ,překlad,,,Beneficenza,,Originál neznámý,ita ,cze,,,,,,,,,,,,
68,69,část knihy,54.0,celé dílo ,překlad,,,"Dappertutto si sta bene, ma a casa propria si sta meglio",,Všude dobře doma nejlíp,ita ,cze,,,,,,,,,,,,
69,70,část knihy,54.0,celé dílo ,překlad,,,I santi e gli animali,,Světci a zvířata,ita ,cze,,,,,,,,,,,,
70,71,část knihy,54.0,celé dílo ,překlad,,,Racconto celeste,,Nebeská povídka,ita ,cze,,,,,,,,,,,,
71,72,část knihy,54.0,celé dílo ,překlad,,,A Sua Eccellenza il imistro delle finanze cavalier Biliński : Vienna,,Jeho Excelenci ministru financí ryt. Biliňskému ve Vídni!,ita ,cze,,,,,,,,,,,,
72,73,část knihy,54.0,celé dílo ,překlad,,,La pietra della vita,,Kámen života,ita ,cze,,,,,,,,,,,,
73,74,část knihy,54.0,celé dílo ,překlad,,,"Il processo contro Cam, figlio di Noè",,"Proces s Chámem, synem Noemovým",ita ,cze,,,,,,,,,,,,
74,75,část knihy,54.0,celé dílo ,překlad,,,La benedizione del vessillo dell'associazione cattolica,,Svěcení praporu katolického spolku,ita ,cze,,,,,,,,,,,,
75,76,část knihy,54.0,celé dílo ,překlad,,,La tenia della signora principessa,,Tasemnice paní kněžny,ita ,cze,,,,,,,,,,,,
76,77,část knihy,54.0,celé dílo ,překlad,,,Lo sciopero dei malviventi,,Stávka zločinců,ita ,cze,,,,,,,,,,,,
77,78,část knihy,54.0,celé dílo ,překlad,,,La fine di Satana,,Konec satana,ita ,cze,,,,,,,,,,,,
78,79,část knihy,54.0,celé dílo ,překlad,,,Racconto dall'inferno,,Povídka z pekla,ita ,cze,,,,,,,,,,,,
79,80,část knihy,54.0,celé dílo ,překlad,,,Il retaggio dei santi Cirillo e Metodio a Morušov,,Svěcení praporu katolického spolku,ita ,cze,,,,,,,,,,,,
80,81,část knihy,54.0,celé dílo ,překlad,,,Audace tentativo di fuga di due custodi dal penitenziario di Pankrác,,Smělý pokus útěku dvou dozorců z pankrácké trestnice,ita ,cze,,,,,,,,,,,,
81,82,část knihy,54.0,celé dílo ,překlad,,,"Il nonnetto Šafler, intrepido cattolico, nel giorno delle elezioni",,"Neohrožený katolík dědeček Šafler v den voleb

",ita ,cze,,,,,,,,,,,,
82,83,část knihy,54.0,celé dílo ,překlad,,,"Una catastrofe naturale, salvezza dell'Austria",,"Una catastrofe naturale, salvezza dell'Austria",ita ,cze,,,,,,,,,,,,
83,84,část knihy,54.0,celé dílo ,překlad,,,Misure contro il carovita,,Opatření proti drahotě,ita ,cze,,,,,,,,,,,,
84,85,část knihy,54.0,celé dílo ,překlad,,,Differenza di ceto,,Stavovské rozdíly ,ita ,cze,,,,,,,,,,,,
85,86,část knihy,54.0,celé dílo ,překlad,,,"Sui guidici, sulle persone giudicate e su quelle condannate",,"O soudcích, lidech souzených a odsouzených",ita ,cze,,,,,,,,,,,,
86,87,část knihy,54.0,celé dílo ,překlad,,,Il caso dell'esecutore giudiziario Jančar,,Případ executora Jančara,ita ,cze,,,,,,,,,,,,
87,88,část knihy,54.0,celé dílo ,překlad,,,L'amministrazione comunale ,,Originál neznámý,ita ,cze,,,,,,,,,,,,
88,89,část knihy,54.0,celé dílo ,překlad,,,Richiesta d'aumento di stipendio,,Žádost za zvýšení platu ,ita ,cze,,,,,,,,,,,,
89,90,část knihy,54.0,celé dílo ,překlad,,,La vendetta è dolce,,Pomsta je sladká,ita ,cze,,,,,,,,,,,,
90,91,část knihy,54.0,celé dílo ,překlad,,,La spedizione del Ladro Šejba,,Výprava zloděje Šejby,ita ,cze,,,,,,,,,,,,
91,92,část knihy,54.0,celé dílo ,překlad,,,Il mio amico Hanuška,,Můj přítel Hanuška,ita ,cze,,,,,,,,,,,,
92,93,část knihy,54.0,celé dílo ,překlad,,,Come i risparmiatori hanno salvato un disperato,,Jak střádalové zachránili zoufalce,ita ,cze,,,,,,,,,,,,
93,94,kniha,,celé dílo ,překlad,,"Hašek, Jaroslav (jk01040097)","Compagno Hašek, comandante della città di Bugul'mà ",Introduzione di Beppe Benvenuto,Velitelem města Bugulmy,ita ,cze,,,Palermo (Itálie) : Sellerio,,,90.0,2001.0,978-88-389-1741-7,"Corduas, Sergio",http://id.sbn.it/bid/MOD0613746,,
94,95,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Racconti ,,Originál neexistuje,ita ,cze,,,Milano (Itálie) : Mondadori,,,464.0,2006.0,88-04-56133-5,"
Corduas, Sergio ",http://id.sbn.it/bid/RAV1486056,,
95,96,část knihy,95.0,celé dílo ,překlad,,,Parte prima 1904-1915,,Originál neexistuje,ita ,cze,,,,,,,,,,,,
96,97,část knihy,95.0,celé dílo ,překlad,,,Parte seconda 1916-1919,,Originál neexistuje,ita ,cze,,,,,,,,,,,,
97,98,část knihy,95.0,celé dílo ,překlad,,,Parte terza 1920-1923,,Originál neexistuje,ita ,cze,,,,,,,,,,,,
98,99,kniha,,celé dílo ,překlad,,"Hašek, Jaroslav (jk01040097)",Le vicende del bravo soldato Švejk,,Osudy dobrého vojáka Švejka,ita ,cze,,,Torino (Itálie) : Einaudi,,,1002.0,2010.0,978-88-06-19621-9,"Dierna, Giuseppe",http://id.sbn.it/bid/TO01782003,,
99,100,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Operete scelte,Progetto e prefazione di Sergio Corduas. Saggio introduttivo di Jiří Pelán. ,Originál neexistuje,ita ,cze,,,Milano (Itálie) : Mondadori,,,1401.0,2014.0,978-88-04-64486-6,"Brignole, Francesco § Catalano, Alessandro § Corduas, Sergio § Cosentino, Annalisa § Kláda, Bartholomew Isaac § Massimi, Dario § Trevisan, Alessandra § Zane, Barbara",http://id.sbn.it/bid/VEA1148636,,
100,101,část knihy,100.0,celé dílo ,překlad,,,La bella Poldi,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
101,102,část knihy,100.0,celé dílo ,překlad,,,La famosa legenda di Wantoch,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
102,103,část knihy,100.0,celé dílo ,překlad,,,Mortomat,,Originál neznámý,ita ,cze,,,,,,,,,"Trevisan, Alessandra",,,
103,104,část knihy,100.0,celé dílo ,překlad,,,Jarmilka,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
104,105,část knihy,100.0,celé dílo ,překlad,,,Incontri e visite,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
105,106,část knihy,100.0,celé dílo ,překlad,,,Amore e Psiche,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
106,107,část knihy,100.0,celé dílo ,překlad,,,Che cos'è la poesia?,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
107,108,část knihy,100.0,celé dílo ,překlad,,,Caino,,Originál neznámý,ita ,cze,,,,,,,,,"Cosentino, Annalisa",,,
108,109,část knihy,100.0,celé dílo ,překlad,,,Vangelo schizofrenico,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
109,110,část knihy,100.0,celé dílo ,překlad,,,Una perlina sul fondo,,Originál neznámý,ita ,cze,,,,,,,,,"Cosentino, Annalisa",,,
110,111,část knihy,100.0,celé dílo ,překlad,,,Gli stramparloni,,Originál neznámý,ita ,cze,,,,,,,,,"Zane, Barbara",,,
111,112,část knihy,100.0,celé dílo ,překlad,,,Treni strettamente sorvegliati,,Originál neznámý,ita ,cze,,,,,,,,,"Corduas, Sergio",,,
112,113,část knihy,100.0,celé dílo ,překlad,,,Inserzione per una casa in cui non vohlio più abitare,,Originál neznámý,ita ,cze,,,,,,,,,"Zane, Barbara",,,
113,114,část knihy,100.0,celé dílo ,překlad,,,Ho servito il re d'Inghilterra,,Originál neznámý,ita ,cze,,,,,,,,,"Corduas, Sergio",,,
114,115,část knihy,100.0,celé dílo ,překlad,,,La tonsura,,Originál neznámý,ita ,cze,,,,,,,,,"Catalano, Alessandro",,,
115,116,část knihy,100.0,celé dílo ,překlad,,,Un tenero barbaro,,Originál neznámý,ita ,cze,,,,,,,,,"Cosentino, Annalisa",,,
116,117,část knihy,100.0,celé dílo ,překlad,,,Una solitudine troppo rumorosa,,Originál neznámý,ita ,cze,,,,,,,,,"Corduas, Sergio",,,
117,118,část knihy,100.0,celé dílo ,překlad,,,Luttobello,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
118,119,část knihy,100.0,celé dílo ,překlad,,,La festa dei bucaneve,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
119,120,část knihy,100.0,celé dílo ,překlad,,,Quadernetto dell'attenzione che non distingue,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
120,121,část knihy,100.0,celé dílo ,překlad,,,Il manuale d'un apprendista stramparlone,,Originál neznámý,ita ,cze,,,,,,,,,"Cosentino, Annalisa",,,
121,122,část knihy,100.0,celé dílo ,překlad,,,L'urgano di novembre,,Originál neznámý,ita ,cze,,,,,,,,,"Cosentino, Annalisa § Kláda, Bartholomew Isaac",,,
122,123,část knihy,100.0,celé dílo ,překlad,,,Fiumi sotterranei,,Originál neznámý,ita ,cze,,,,,,,,,"Massimi, Dario",,,
123,124,část knihy,100.0,celé dílo ,překlad,,,Il cavaliere rosa,,Originál neznámý,ita ,cze,,,,,,,,,"Brignole, Francesco",,,
124,125,část knihy,100.0,celé dílo ,překlad,,,L'Aurora in secca,,Originál neznámý,ita ,cze,,,,,,,,,"Trevisan, Alessandra",,,
125,126,část knihy,100.0,celé dílo ,překlad,,,I palloni possono spiccare il volo,,Originál neznámý,ita ,cze,,,,,,,,,"Trevisan, Alessandra",,,
126,127,kniha,,souborné dílo,překlad,,"Havel, Václav (jk01040240)",Václav Havel : Dissenso culturale e politico in Cecoslovacchia. Per una decifrazione teatrale del codice del potere.,Con saggi di Giancarlo Romani Adami e Gianlorenzo Pacini,Originál neexistuje,ita ,cze,,,Venezia (Itálie) : Marsilio,,,362.0,1977.0,,"Pacini, Gianlorenzo",http://id.sbn.it/bid/SBL0325151,,
127,128,část knihy,127.0,celé dílo ,překlad,,,Autoritratto,,,ita ,cze,,,,,,,,,,,,
128,129,část knihy,127.0,celé dílo ,překlad,,,Festa agreste,,Zahradní slavnost,ita ,cze,,,,,,,,,,,,
129,130,část knihy,127.0,celé dílo ,překlad,,,Circolare ad uso interno,,Vyrozumění,ita ,cze,,,,,,,,,,,,
130,131,část knihy,127.0,celé dílo ,překlad,,,Dificoltà di concentrazione,,Ztížená možnost soustředění ,ita ,cze,,,,,,,,,,,,
131,132,část knihy,127.0,celé dílo ,překlad,,,I cospiratori,,Spiklenci,ita ,cze,,,,,,,,,,,,
132,133,část knihy,127.0,celé dílo ,překlad,,,L'opera dello straccione,,Žebrácká opera,ita ,cze,,,,,,,,,,,,
133,134,část knihy,127.0,celé dílo ,překlad,,,Udienza,,Audience,ita ,cze,,,,,,,,,,,,
134,135,část knihy,127.0,celé dílo ,překlad,,,Vernissage,,Vernisáž,ita ,cze,,,,,,,,,,,,
135,136,část knihy,127.0,celé dílo ,překlad,,,Albergo di montagna,,Horský hotel,ita ,cze,,,,,,,,,,,,
136,137,část knihy,127.0,celé dílo ,překlad,,,Poesie tipografiche,,Antikódy,ita ,cze,,,,,,,,,,,,
137,138,část knihy,127.0,celé dílo ,překlad,,,Lettera a Gustav Husák,,Originál neznámý,ita ,cze,,,,,,,,,,,,
138,139,část knihy,127.0,celé dílo ,překlad,,,Lettera all'Editore Rowohlt,,Originál neznámý,ita ,cze,,,,,,,,,,,,
139,140,kniha,,souborné dílo,překlad,,"Havel, Václav (jk01040240)",Dell'entropia in politica,,Originál neexistuje,ita ,cze,,,Bologna (Itálie) : Centro studi Europa orientale,,,96.0,1981.0,,"Pacini, Gianlorenzo",http://id.sbn.it/bid/TO01577552,,
140,141,část knihy,140.0,celé dílo ,překlad,,,Dell'entropia in politica,,Originál neznámý,ita ,cze,,,,,,,,,,,,
141,142,část knihy,140.0,celé dílo ,překlad,,,Sulla metafisica dialettica,,O dialektické metafyzice,ita ,cze,,,,,,,,,,,,
142,143,část knihy,140.0,celé dílo ,překlad,,,Circolo vizioso ,,Originál neznámý,ita ,cze,,,,,,,,,,,,
143,144,část knihy,140.0,celé dílo ,překlad,,,Breve autobiografia intelletuale,,Originál neznámý,ita ,cze,,,,,,,,,,,,
144,145,kniha,,souborné dílo,překlad,,"Havel, Václav (jk01040240)",Largo desolato,,originál neexistuje,ita ,cze,,,Milano (Itálie) : Ubulibri,,,143.0,1985.0,,"Pacini, Gianlorenzo",http://id.sbn.it/bid/RLZ0245520,,
145,146,část knihy,145.0,celé dílo ,překlad,,,Largo desolato,,Originál neznámý,ita ,cze,,,,,,,,,,,,
146,147,část knihy,145.0,celé dílo ,překlad,,,Lo sbaglio,,Chyba,ita ,cze,,,,,,,,,,,,
147,148,část knihy,145.0,celé dílo ,překlad,,,Sei osservazioni a proposito della cultura,,Originál neznámý,ita ,cze,,,,,,,,,,,,
